timeStamp,cpu_scaled,memory_scaled
2026-02-05 10:49:30.777540,0.013000000000000001,0.848
2026-02-05 10:49:31.792128,0.06,0.848
2026-02-05 10:49:32.800593,0.040999999999999995,0.848
2026-02-05 10:49:33.812465,0.215,0.847
2026-02-05 10:49:34.815579,0.34600000000000003,0.8490000000000001
2026-02-05 10:49:35.818715,0.122,0.8490000000000001
2026-02-05 10:49:36.830098,0.182,0.8490000000000001
2026-02-05 10:49:37.833509,0.175,0.8490000000000001
2026-02-05 10:49:38.841722,0.043,0.8490000000000001
2026-02-05 10:49:39.846116,0.085,0.8490000000000001
2026-02-05 10:49:40.855560,0.005,0.847
2026-02-05 10:49:41.861580,0.059000000000000004,0.847
2026-02-05 10:49:42.876070,0.10300000000000001,0.848
2026-02-05 10:49:43.892327,0.149,0.848
2026-02-05 10:49:44.907651,0.109,0.848
2026-02-05 10:49:45.914220,0.081,0.84
2026-02-05 10:49:46.924220,0.05,0.84
2026-02-05 10:49:47.928574,0.013000000000000001,0.84
2026-02-05 10:49:48.937953,0.043,0.8390000000000001
2026-02-05 10:49:49.947107,0.027999999999999997,0.84
2026-02-05 10:49:50.953380,0.036000000000000004,0.8390000000000001
2026-02-05 10:49:51.966219,0.133,0.845
2026-02-05 10:49:52.982141,0.195,0.847
2026-02-05 10:49:53.984708,0.139,0.848
2026-02-05 10:49:54.991708,0.159,0.8490000000000001
2026-02-05 10:49:55.998738,0.127,0.848
2026-02-05 10:49:57.014207,0.125,0.848
2026-02-05 10:49:58.019229,0.111,0.848
2026-02-05 10:49:59.036087,0.09699999999999999,0.848
2026-02-05 10:50:00.042294,0.06,0.848
2026-02-05 10:50:01.045207,0.182,0.853
2026-02-05 10:50:02.052562,0.134,0.853
2026-02-05 10:50:03.061743,0.05,0.855
2026-02-05 10:50:04.067948,0.054000000000000006,0.8540000000000001
2026-02-05 10:50:05.072008,0.022000000000000002,0.8540000000000001
2026-02-05 10:50:06.082329,0.08,0.8540000000000001
2026-02-05 10:50:07.088833,0.247,0.8320000000000001
2026-02-05 10:50:08.090750,0.049,0.8320000000000001
2026-02-05 10:50:09.091122,0.026000000000000002,0.831
2026-02-05 10:50:10.100993,0.055999999999999994,0.8320000000000001
2026-02-05 10:50:11.110121,0.08800000000000001,0.825
2026-02-05 10:50:12.112981,0.161,0.821
2026-02-05 10:50:13.124249,0.12300000000000001,0.8220000000000001
2026-02-05 10:50:14.127836,0.07,0.8220000000000001
2026-02-05 10:50:15.131505,0.057999999999999996,0.8220000000000001
2026-02-05 10:50:16.145084,0.055999999999999994,0.821
2026-02-05 10:50:17.157109,0.057,0.821
2026-02-05 10:50:18.166960,0.114,0.82
2026-02-05 10:50:19.183366,0.036000000000000004,0.821
2026-02-05 10:50:20.188436,0.1,0.82
2026-02-05 10:50:21.192690,0.086,0.8190000000000001
2026-02-05 10:50:22.207849,0.028999999999999998,0.8190000000000001
2026-02-05 10:50:23.223071,0.018000000000000002,0.8190000000000001
2026-02-05 10:50:24.229861,0.055,0.82
2026-02-05 10:50:25.247144,0.20199999999999999,0.826
2026-02-05 10:50:26.248770,0.156,0.83
2026-02-05 10:50:27.253349,0.17600000000000002,0.831
2026-02-05 10:50:28.255929,0.162,0.828
2026-02-05 10:50:29.262633,0.14400000000000002,0.8270000000000001
2026-02-05 10:50:30.268634,0.12300000000000001,0.8270000000000001
2026-02-05 10:50:31.278775,0.08900000000000001,0.828
2026-02-05 10:50:32.281970,0.161,0.8270000000000001
2026-02-05 10:50:33.296389,0.18899999999999997,0.825
2026-02-05 10:50:34.301214,0.135,0.825
2026-02-05 10:50:35.309327,0.01,0.8240000000000001
2026-02-05 10:50:36.317776,0.043,0.8240000000000001
2026-02-05 10:50:37.326804,0.023,0.8240000000000001
2026-02-05 10:50:38.330446,0.147,0.823
2026-02-05 10:50:39.336780,0.004,0.823
2026-02-05 10:50:40.346529,0.023,0.823
2026-02-05 10:50:41.354994,0.087,0.81
2026-02-05 10:50:42.362794,0.081,0.81
2026-02-05 10:50:43.368848,0.01,0.81
2026-02-05 10:50:44.375582,0.017,0.809
2026-02-05 10:50:45.377485,0.036000000000000004,0.81
2026-02-05 10:50:46.381635,0.07,0.8109999999999999
2026-02-05 10:50:47.383180,0.025,0.8109999999999999
2026-02-05 10:50:48.393357,0.039,0.81
2026-02-05 10:50:49.400199,0.035,0.8109999999999999
2026-02-05 10:50:50.409887,0.05,0.8109999999999999
2026-02-05 10:50:51.415984,0.057999999999999996,0.8109999999999999
2026-02-05 10:50:52.423011,0.084,0.81
2026-02-05 10:50:53.438079,0.111,0.81
2026-02-05 10:50:54.441039,0.122,0.81
2026-02-05 10:50:55.448568,0.005,0.81
2026-02-05 10:50:56.455663,0.044000000000000004,0.8109999999999999
2026-02-05 10:50:57.466951,0.047,0.8109999999999999
2026-02-05 10:50:58.474462,0.049,0.8109999999999999
2026-02-05 10:50:59.483245,0.16899999999999998,0.836
2026-02-05 10:51:00.487653,0.14,0.831
2026-02-05 10:51:01.494824,0.102,0.8320000000000001
2026-02-05 10:51:02.498850,0.055999999999999994,0.8320000000000001
2026-02-05 10:51:03.504973,0.142,0.8340000000000001
2026-02-05 10:51:04.515707,0.20600000000000002,0.835
2026-02-05 10:51:05.522048,0.066,0.835
2026-02-05 10:51:06.532190,0.022000000000000002,0.836
2026-02-05 10:51:07.540411,0.092,0.836
2026-02-05 10:51:08.543958,0.023,0.836
2026-02-05 10:51:09.559619,0.027000000000000003,0.835
2026-02-05 10:51:10.566150,0.06,0.835
2026-02-05 10:51:11.574231,0.022000000000000002,0.835
2026-02-05 10:51:12.583676,0.033,0.835
2026-02-05 10:51:13.590753,0.018000000000000002,0.835
2026-02-05 10:51:14.602235,0.11199999999999999,0.838
2026-02-05 10:51:15.606409,0.245,0.841
2026-02-05 10:51:16.609488,0.205,0.847
2026-02-05 10:51:17.609800,0.175,0.846
2026-02-05 10:51:18.618211,0.188,0.8490000000000001
2026-02-05 10:51:19.621127,0.191,0.8490000000000001
2026-02-05 10:51:20.636190,0.239,0.85
2026-02-05 10:51:21.651821,0.233,0.852
2026-02-05 10:51:22.666821,0.203,0.853
2026-02-05 10:51:23.681821,0.21899999999999997,0.858
2026-02-05 10:51:24.698832,0.20600000000000002,0.861
2026-02-05 10:51:25.702562,0.203,0.851
2026-02-05 10:51:26.713448,0.214,0.853
2026-02-05 10:51:27.718862,0.22399999999999998,0.8590000000000001
2026-02-05 10:51:28.721867,0.29,0.863
2026-02-05 10:51:29.725683,0.292,0.8640000000000001
2026-02-05 10:51:30.737144,0.168,0.863
2026-02-05 10:51:31.737810,0.22,0.858
2026-02-05 10:51:32.740881,0.139,0.8590000000000001
2026-02-05 10:51:33.757418,0.22399999999999998,0.861
2026-02-05 10:51:34.770289,0.201,0.861
2026-02-05 10:51:35.780428,0.25,0.866
2026-02-05 10:51:36.794206,0.188,0.866
2026-02-05 10:51:37.801297,0.163,0.868
2026-02-05 10:51:38.803677,0.231,0.868
2026-02-05 10:51:39.812679,0.262,0.865
2026-02-05 10:51:40.825681,0.48200000000000004,0.868
2026-02-05 10:51:41.828687,0.226,0.868
2026-02-05 10:51:42.834567,0.20800000000000002,0.8690000000000001
2026-02-05 10:51:43.850205,0.298,0.87
2026-02-05 10:51:44.866194,0.21899999999999997,0.8690000000000001
2026-02-05 10:51:45.871233,0.214,0.8690000000000001
2026-02-05 10:51:46.887100,0.205,0.868
2026-02-05 10:51:47.890674,0.215,0.868
2026-02-05 10:51:48.892089,0.23,0.87
2026-02-05 10:51:49.895045,0.282,0.8690000000000001
2026-02-05 10:51:50.910046,0.239,0.868
2026-02-05 10:51:51.919337,0.174,0.868
2026-02-05 10:51:52.923826,0.26,0.872
2026-02-05 10:51:53.936785,0.237,0.867
2026-02-05 10:51:54.951606,0.135,0.8690000000000001
2026-02-05 10:51:55.964540,0.156,0.871
2026-02-05 10:51:56.975812,0.091,0.872
2026-02-05 10:51:57.983033,0.131,0.8759999999999999
2026-02-05 10:51:58.993548,0.276,0.862
2026-02-05 10:52:00.001530,0.3,0.865
2026-02-05 10:52:01.003181,0.231,0.868
2026-02-05 10:52:02.017557,0.322,0.857
2026-02-05 10:52:03.033555,0.578,0.8759999999999999
2026-02-05 10:52:04.047705,0.374,0.875
2026-02-05 10:52:05.052057,0.29600000000000004,0.877
2026-02-05 10:52:06.061203,0.28800000000000003,0.865
2026-02-05 10:52:07.077262,0.254,0.871
2026-02-05 10:52:08.087148,0.355,0.883
2026-02-05 10:52:09.102158,0.41100000000000003,0.895
2026-02-05 10:52:10.115161,0.348,0.902
2026-02-05 10:52:11.128906,0.282,0.904
2026-02-05 10:52:12.132907,0.264,0.9079999999999999
2026-02-05 10:52:13.135907,0.294,0.91
2026-02-05 10:52:14.149008,0.214,0.9109999999999999
2026-02-05 10:52:15.157797,0.33299999999999996,0.91
2026-02-05 10:52:16.160096,0.318,0.9129999999999999
2026-02-05 10:52:17.174071,0.306,0.9109999999999999
2026-02-05 10:52:18.188401,0.264,0.91
2026-02-05 10:52:19.191089,0.301,0.9059999999999999
2026-02-05 10:52:20.192631,0.209,0.9059999999999999
2026-02-05 10:52:21.209409,0.212,0.9059999999999999
2026-02-05 10:52:22.219553,0.23800000000000002,0.9059999999999999
2026-02-05 10:52:23.235210,0.255,0.907
2026-02-05 10:52:24.248966,0.239,0.91
2026-02-05 10:52:25.250887,0.26,0.914
2026-02-05 10:52:26.266827,0.276,0.917
2026-02-05 10:52:27.275318,0.24,0.919
2026-02-05 10:52:28.287351,0.426,0.917
2026-02-05 10:52:29.304355,0.58,0.9229999999999999
2026-02-05 10:52:30.315030,0.345,0.9279999999999999
2026-02-05 10:52:31.328129,0.368,0.9259999999999999
2026-02-05 10:52:32.336405,0.41,0.9309999999999999
2026-02-05 10:52:33.344208,0.25,0.93
